document_title,document_text,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23
One Ring,,meaning of one ring to rule them all,NONE,,,,,,,,,,,,,,,,,,,,,,,
pH,,what is the highest base on the ph scale,NONE,,,,,,,,,,,,,,,,,,,,,,,
If This World Were Mine,,who sang if this world were mine with luther vandross,NONE,348-350,,,,,,,,,,,,,,,,,,,,,,
Hey Arnold!,,what grade was arnold from hey arnold in,NONE,505-506,,,,,,,,,,,,,,,,,,,,,,
List of NBA players with most championships,,who has the most rings in the nba right now 2017,NONE,,,,,,,,,,,,,,,,,,,,,,,
Wonder Woman,,when was the first wonder woman comic released,NONE,390-392,,,,,,,,,,,,,,,,,,,,,,
E. L. James,,who is the writer of 50 shades of grey,NONE,139-156,,,,,,,,,,,,,,,,,,,,,,
Synapsis,,when does synapsis of homologous chromosomes occur in mitosis,NONE,86-90,,,,,,,,,,,,,,,,,,,,,,
Sessile serrated adenoma,,what is a serrated adenoma of the colon,NONE,,,,,,,,,,,,,,,,,,,,,,,
Emmett Brown,,what was the professors name in back to the future,NONE,406-415,,,,,,,,,,,,,,,,,,,,,,
New media,,when did the age of new media began,NONE,728-730,,,,,,,,,,,,,,,,,,,,,,
It's Gonna Take a Miracle,,who sang it going to take a miracle,NONE,,,,,,,,,,,,,,,,,,,,,,,
High commissioner (Commonwealth),,what the difference between high commissioner and ambassador,NONE,,,,,,,,,,,,,,,,,,,,,,,
Friends (season 9),,who does joey get a chance to work with in a movie,NONE,,,,,,,,,,,,,,,,,,,,,,,
"The Half Moon, Putney",,who has played at the half moon putney,NONE,,,,,,,,,,,,,,,,,,,,,,,
Diminishing returns,,when does law of diminishing returns set in,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Legend of Heroes: Trails in the Sky the 3rd,,the legend of heroes trails in the sky the 3rd vita,NONE,,,,,,,,,,,,,,,,,,,,,,,
Space Shuttle,,where does the us launch space shuttles from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Little House on the Prairie (TV series),,when did little house on the praire air,NONE,416-432,,,,,,,,,,,,,,,,,,,,,,
Buckwheat Boyz,,where did the peanut butter jelly time song come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Gossip Girl,,where does how i met your mother take place in nyc,NONE,,,,,,,,,,,,,,,,,,,,,,,
U (TV channel),,what channel is u of a playing on,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jim Keltner,,who was the drummer with the travelling wilburys,NONE,,,,,,,,,,,,,,,,,,,,,,,
Remember the Titans,,what was the actual year that the movie regarding the titans took place,NONE,291-292,,,,,,,,,,,,,,,,,,,,,,
List of Cleveland Browns seasons,,when was the cleveland browns last winning game,NONE,,,,,,,,,,,,,,,,,,,,,,,
Constitution,,types of constitution on the basis of origin,NONE,,,,,,,,,,,,,,,,,,,,,,,
Model year,,when does new model year start for cars,NONE,,,,,,,,,,,,,,,,,,,,,,,
Kickstarter,,what is the purpose of a website kick starter,NONE,182-190,,,,,,,,,,,,,,,,,,,,,,
List of Mount Everest records of India,,who is the first indian climber of mount everest,NONE,,,,,,,,,,,,,,,,,,,,,,,
Figure skating at the Olympic Games,,when is the figure skating part of the olympics,NONE,,,,,,,,,,,,,,,,,,,,,,,
World Series,,how many games does a team have to win for the world series,NONE,,,,,,,,,,,,,,,,,,,,,,,
Web browser,,state the basic features of world wide web,NONE,,,,,,,,,,,,,,,,,,,,,,,
Advisory speed limit,,what does a yellow 35 mph sign mean,NONE,,,,,,,,,,,,,,,,,,,,,,,
Lost in Space (2018 TV series),,who is the robot in lost in space 2018,NONE,1174-1176,,,,,,,,,,,,,,,,,,,,,,
Prime Minister of the United Kingdom,,how long is a prime minister term in uk,NONE,234-239,,,,,,,,,,,,,,,,,,,,,,
J,,when was the letter j introduced to the alphabet,NONE,,,,,,,,,,,,,,,,,,,,,,,
Medium of exchange,,what is money as a medium of exchange,NONE,,,,,,,,,,,,,,,,,,,,,,,
Field goal range,,where do you kick a field goal from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Day-O (The Banana Boat Song),,who sings daylight come and me want to go home,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Boston Red Sox no-hitters,,when was the last time the boston red sox pitched a no-hitter,NONE,2611-2615,,,,,,,,,,,,,,,,,,,,,,
Microsoft OneNote,,what is one note and how does it work,NONE,,,,,,,,,,,,,,,,,,,,,,,
V sign,,where does putting two fingers up come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bruno Tonioli,,where is bruno from dancing with the stars,NONE,,,,,,,,,,,,,,,,,,,,,,,
Penny dreadful,,where did the name penny mustard come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Eiffel Tower,,how many levels are there on the eiffel tower,NONE,652-653,,,,,,,,,,,,,,,,,,,,,,
Walt Disney Parks and Resorts,,where are the four disney theme parks located,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Fairy Tail episodes,,when will fairy tail final season be released,NONE,109-110,,,,,,,,,,,,,,,,,,,,,,
Over the Rainbow,,when did somewhere over the rainbow come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
Articles of Confederation,,what were the article of confederation and what powers did they grant to congress,NONE,,,,,,,,,,,,,,,,,,,,,,,
Physical layer,,which layer of the osi model handles physical addressing,NONE,,,,,,,,,,,,,,,,,,,,,,,
Game of Thrones (season 7),,when does season 7 game of thrones dvd release,NONE,5973-5977,,,,,,,,,,,,,,,,,,,,,,
Operation of law,,with reference to case law explain dismissal by operation of law in detail,NONE,,,,,,,,,,,,,,,,,,,,,,,
Hootie & the Blowfish,,when did hootie and the blowfish come out,NONE,207-208,,,,,,,,,,,,,,,,,,,,,,
List of countries where Arabic is an official language,,arabic is the official language of which country,NONE,,,,,,,,,,,,,,,,,,,,,,,
Toto (Oz),,what is the dogs name in wizard of oz,NONE,111-112,,,,,,,,,,,,,,,,,,,,,,
Mission San Diego de Alcalá,,how did the geography and resources of san diego california help it grow,NONE,,,,,,,,,,,,,,,,,,,,,,,
Behavioral modernity,,what does the advent of behavioral modernity refer to,NONE,,,,,,,,,,,,,,,,,,,,,,,
Thomas Jefferson,,third president of the united states of america,NONE,967-969,,,,,,,,,,,,,,,,,,,,,,
Demond Wilson,,what happened to lamont sanford on sanford and son,NONE,,,,,,,,,,,,,,,,,,,,,,,
Canada at the Olympics,,what's the medal count for canada in the olympics,NONE,1291-1292,,,,,,,,,,,,,,,,,,,,,,
You're the Best Thing That Ever Happened to Me,,you're the best thing that ever happened to me gladys knight and the pips,NONE,,,,,,,,,,,,,,,,,,,,,,,
Thirty pieces of silver,,who was sold for 20 pieces of silver,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of dates for Easter,,when was the last easter fell on april 1,NONE,281-282,,,,,,,,,,,,,,,,,,,,,,
Pound for pound,,what does it mean to be pound for pound,NONE,21-46,,,,,,,,,,,,,,,,,,,,,,
National Football League Coach of the Year Award,,who won nfl football coach of the year,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jemaine Clement,,who does the voice of fart in rick and morty,NONE,,,,,,,,,,,,,,,,,,,,,,,
French First Republic,,who abolished the monarchy and declared france a republic,NONE,1398-1402,,,,,,,,,,,,,,,,,,,,,,
Ten Commandments,,location of the ten commandments in the bible,NONE,322-323,324-325,,,,,,,,,,,,,,,,,,,,,
"Italian general election, 2018",,who is new prime minister of italy 2018,NONE,,,,,,,,,,,,,,,,,,,,,,,
I Can Only Imagine (MercyMe song),,where was i can only imagine first sang,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Olympic female gymnasts for the United States,,who is the best olympic gymnast of all time,NONE,,,,,,,,,,,,,,,,,,,,,,,
Oregon Country,,who did the us share the oregon country with,NONE,,,,,,,,,,,,,,,,,,,,,,,
Constantinople,,how long was constantinople the center of the roman empire,NONE,,,,,,,,,,,,,,,,,,,,,,,
Rob Dyrdek's Fantasy Factory,,when did rob dyrdek's fantasy factory end,NONE,607-611,,,,,,,,,,,,,,,,,,,,,,
National Do Not Call Registry,,what is the purpose of the national do not call registry,NONE,65-81,,,,,,,,,,,,,,,,,,,,,,
Jump Back: The Best of The Rolling Stones,,the rolling stones jump back the best of the rolling stones songs,NONE,,,,,,,,,,,,,,,,,,,,,,,
Pluto (mythology),,roman god of the underworld also called orcus or pluto,NONE,432-434,,,,,,,,,,,,,,,,,,,,,,
Seed (sports),,where does the word seed come from in sports,NONE,93-133,,,,,,,,,,,,,,,,,,,,,,
Taylor Lautner,,how old was taylor lautner when he played in shark boy and lava girl,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Just what is it that makes today's homes so different, so appealing?",,hamilton just what is it that makes today’s homes so different so appealing 1956,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Celebrity Big Brother (UK) housemates,,who won the first celebrity big brother on channel 5,NONE,1076-1078,,,,,,,,,,,,,,,,,,,,,,
A Nightmare on Elm Street,,cast of a nightmare on elm street 1984,NONE,,,,,,,,,,,,,,,,,,,,,,,
Category:Countries in Africa,,african countries that begin with the letter a,NONE,278-280,290-292,,,,,,,,,,,,,,,,,,,,,
Henry Francis Lyte,,who wrote jesus i my cross have taken,NONE,,,,,,,,,,,,,,,,,,,,,,,
Psychoanalysis,,who is regarded as the founder of psychoanalysis,NONE,510-512,,,,,,,,,,,,,,,,,,,,,,
Branded (TV series),,what do you do when you're branded song,NONE,,,,,,,,,,,,,,,,,,,,,,,
Apennine Mountains,,where is apennines mountains located on a map,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Accountant (2016 film),,is the movie the accountant based on a book,NO,,,,,,,,,,,,,,,,,,,,,,,
Palais Garnier,,who painted the ceiling of the paris opera house,NONE,,,,,,,,,,,,,,,,,,,,,,,
Shaq–Kobe feud,,how many championships did kobe win after shaq,NONE,,,,,,,,,,,,,,,,,,,,,,,
Visa requirements for Turkish citizens,,do foreigners need a visa to visit puerto rico,NONE,,,,,,,,,,,,,,,,,,,,,,,
Republic Day (India),,who was the chief guest of 2014 republic day,NONE,2513-2517,,,,,,,,,,,,,,,,,,,,,,
Eyjafjallajökull,,name of volcano that erupted in iceland in 2010,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of largest shopping malls in the United States,,where is the second largest mall in america,NONE,391-394,,,,,,,,,,,,,,,,,,,,,,
List of states and union territories of India by population,,list of indian states by population growth rate,NONE,,,,,,,,,,,,,,,,,,,,,,,
Copy editing,,explain the most dangerous aspect of copy editing,NONE,,,,,,,,,,,,,,,,,,,,,,,
I Guess That's Why They Call It the Blues,,i guess that's why they call it the blues covers,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Legends of Tomorrow episodes,,legends of tomorrow season 3 finale air date,NONE,16964-16968,,,,,,,,,,,,,,,,,,,,,,
Shona Laing,,i'm glad i'm not a kennedy,NONE,,,,,,,,,,,,,,,,,,,,,,,
Persian Empire,,modern countries that were part of the persian empire,NONE,,,,,,,,,,,,,,,,,,,,,,,
Prime meridian,,where is the meridian that is opposite the prime meridian located,NONE,,,,,,,,,,,,,,,,,,,,,,,
War Powers Resolution,,in 1973 congress passed the war powers resolution to,NONE,522-543,,,,,,,,,,,,,,,,,,,,,,
Orinoco,,where is the orinoco river located on a map,NONE,106-129,,,,,,,,,,,,,,,,,,,,,,
Santiago de Compostela,,how did religion impact the history of santiago de compostela,NONE,,,,,,,,,,,,,,,,,,,,,,,
Breech birth,,what does it mean when your baby comes out feet first,NONE,,,,,,,,,,,,,,,,,,,,,,,
Joe Turner's Come and Gone,,what does zonia receive from reuben in the play,NONE,1876-1877,,,,,,,,,,,,,,,,,,,,,,
Dynamin,,dynamin is associated with which type of vesicle,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of The Simpsons Treehouse of Horror episodes,,the simpsons all treehouse of horror full episodes,NONE,,,,,,,,,,,,,,,,,,,,,,,
Area codes 303 and 720,,when did 10 digit dialing start in colorado,NONE,,,,,,,,,,,,,,,,,,,,,,,
Choi Sung-bong,,what happened to the homeless korean boy on korea's got talent,NONE,,,,,,,,,,,,,,,,,,,,,,,
Multiplication sign,,what is the multiplication sign on the computer,NONE,930-934,,,,,,,,,,,,,,,,,,,,,,
List of British monarchs,,kings and queens of england in the 1900s,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Merchant of Venice,,short notes on characters of merchant of venice,NONE,,,,,,,,,,,,,,,,,,,,,,,
Nissan Xterra,,when did they stop making the nissan xterra,NONE,2001-2006,,,,,,,,,,,,,,,,,,,,,,
Sue Ane Langdon,,who played the nurse on andy griffith show,NONE,,,,,,,,,,,,,,,,,,,,,,,
Law,,where can the legal scope of practice be found,NONE,,,,,,,,,,,,,,,,,,,,,,,
In the Heat of the Night (TV series),,where was the tv show in the heat of the night filmed,NONE,10314-10317,10330-10349,10350-10354,10373-10374,,,,,,,,,,,,,,,,,,,
It's the End of the World as We Know It (And I Feel Fine),,who sang the end of the world as we know it,NONE,527-528,,,,,,,,,,,,,,,,,,,,,,
The Walking Dead (video game),,what is the goal of the walking dead,NONE,,,,,,,,,,,,,,,,,,,,,,,
Financial crisis of 2007–2008,,which of the following was true about the great recession of 2008,NONE,,,,,,,,,,,,,,,,,,,,,,,
I'm Leaving It All Up to You,,donny and marie leaving it all up to you,NONE,,,,,,,,,,,,,,,,,,,,,,,
Wipro,,who became the it company ceo in 2016,NONE,,,,,,,,,,,,,,,,,,,,,,,
Visa requirements for United States citizens,,what countries can i go without a visa,NONE,,,,,,,,,,,,,,,,,,,,,,,
Maryland Toleration Act,,religious toleration becomes the law in maryland answers,NONE,,,,,,,,,,,,,,,,,,,,,,,
Chromolithography,,chromolithograph led to the ability to do all of the following except,NONE,,,,,,,,,,,,,,,,,,,,,,,
Pay Commission,,who headed the 7th central pay commission of india,NONE,3229-3232,,,,,,,,,,,,,,,,,,,,,,
The Herd with Colin Cowherd,,the herd with colin cowherd i heart radio,NONE,,,,,,,,,,,,,,,,,,,,,,,
Of Mice and Men,,when did john steinbeck write of mice and me,NONE,143-144,,,,,,,,,,,,,,,,,,,,,,
Category talk:Birds by common name,,what is the name of the birds that talk,NONE,,,,,,,,,,,,,,,,,,,,,,,
Figure skate,,how thick is the ice for olympic figure skating,NONE,,,,,,,,,,,,,,,,,,,,,,,
Argiope aurantia,,south african spider with black and yellow legs,NONE,,,,,,,,,,,,,,,,,,,,,,,
Fission (biology),,what types of cells go through binary fission,NONE,297-302,,,,,,,,,,,,,,,,,,,,,,
White House Press Secretary,,how has the power of the president changed over the years answers,NONE,,,,,,,,,,,,,,,,,,,,,,,
Shang dynasty,,which of the following statements about the shang dynasty’s system of writing is false,NONE,,,,,,,,,,,,,,,,,,,,,,,
Disha Vakani,,real name of daya in taarak mehta ka ooltah chashmah,NONE,163-165,,,,,,,,,,,,,,,,,,,,,,
Peter Weller,,who played charlie barosky on sons of anarchy,NONE,,,,,,,,,,,,,,,,,,,,,,,
Flathead engine,,where would an l-head engine be found today,NONE,,,,,,,,,,,,,,,,,,,,,,,
Value-added tax in the United Kingdom,,when did vat change from 17.5 to 20,NONE,357-360,,,,,,,,,,,,,,,,,,,,,,
Minority Report (film),,what is the location at the end of minority report,NONE,3783-3794,,,,,,,,,,,,,,,,,,,,,,
Florida's Natural Growers,,where does florida natural orange juice come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of astronauts by year of selection,,how many astronauts has nasa sent into space,NONE,,,,,,,,,,,,,,,,,,,,,,,
Amantadine,,the mechanism of action of amantadine in parkinson's a review,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bigg Boss Kannada 5,,who is eliminated in big boss kannada 5,NONE,,,,,,,,,,,,,,,,,,,,,,,
Great Pyramid of Giza,,what was written on the walls of the king's chamber,NONE,,,,,,,,,,,,,,,,,,,,,,,
We Built This City,,meaning of the song we built this city,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tie a Yellow Ribbon Round the Ole Oak Tree,,song tie a yellow ribbon round the old oak tree,NONE,,,,,,,,,,,,,,,,,,,,,,,
Beauty and the Beast (2017 film),,who stars in beauty and the beast 2017,NONE,,,,,,,,,,,,,,,,,,,,,,,
Hormone,,write any four characteristics of hormone in humans,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sciatic nerve,,where does the sciatic nerve run in the foot,NONE,,,,,,,,,,,,,,,,,,,,,,,
Gauhati High Court,,which state does not fall under the direction of guwahati high court,NONE,,,,,,,,,,,,,,,,,,,,,,,
Neo-Babylonian Empire,,which of the following led to the end of the neo sumerian empire,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tempera,,tempera is paint in which the vehicle is in,NONE,84-103,,,,,,,,,,,,,,,,,,,,,,
86 (term),,where does the saying to 86 something come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Appellate procedure in the United States,,what state courts can order a new trial,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Ranganathaswamy Temple, Srirangam",,famous temple believed to be built out of gold by the moon god,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cilium,,what do cilia do in an animal cell,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of most-followed Instagram accounts,,who has the most followers in the world on instagram,NONE,,,,,,,,,,,,,,,,,,,,,,,
Morse code,,who used morse code in world war 2,NONE,,,,,,,,,,,,,,,,,,,,,,,
In a Station of the Metro,,the petals mentioned in pound's poem about the metro,NONE,,,,,,,,,,,,,,,,,,,,,,,
Orange Is the New Black (season 5),,orange is the new black episodes season 5,NONE,,,,,,,,,,,,,,,,,,,,,,,
Harlem Renaissance,,which of the following writers contributed to the harlem renaissance,NONE,,,,,,,,,,,,,,,,,,,,,,,
Pemberley,,where is pemberley filmed in pride and prejudice,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of IBM,,who was the first person to successfully introduce a device exclusively designed for data processing,NONE,,,,,,,,,,,,,,,,,,,,,,,
Graveyard Shift (SpongeBob SquarePants),,which episode of spongebob is the hash slinging slasher,NONE,,,,,,,,,,,,,,,,,,,,,,,
The High Chaparral,,where was the tv show high chaparral filmed,NONE,,,,,,,,,,,,,,,,,,,,,,,
Indian Accounting Standards,,authorities involved in formulating accounting standard in india,NONE,,,,,,,,,,,,,,,,,,,,,,,
Rocky,,did the movie rocky win any academy awards,YES,,,,,,,,,,,,,,,,,,,,,,,
Tristan Rogers,,who plays colin on young and the restless,NONE,98-100,,,,,,,,,,,,,,,,,,,,,,
Cell-free fetal DNA,,what does the cell free dna test for,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Vehicle registration plates of Washington, D.C.",,does the district of columbia have their own license plates,YES,,,,,,,,,,,,,,,,,,,,,,,
List of lakes by depth,,where is the deepest lake in the us located,NONE,497-498,,,,,,,,,,,,,,,,,,,,,,
Columbian Exchange,,list of things traded in the columbian exchange,NONE,,,,,,,,,,,,,,,,,,,,,,,
Seven Seas of Rhye,,what does the seven seas of rhye mean,NONE,,,,,,,,,,,,,,,,,,,,,,,
2017 NCAA Division I FBS football season,,when does the 2017 college football season end,NONE,249-253,,,,,,,,,,,,,,,,,,,,,,
Houston Astros,,when was the last time astros was in the world series,NONE,696-697,,,,,,,,,,,,,,,,,,,,,,
First impression (psychology),,where do spontaneous first impressions of faces come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Dragon Age: Origins,,who do you play as in dragon age origins,NONE,,,,,,,,,,,,,,,,,,,,,,,
Baseball field,,how far is the pitchers mound to home plate in little league baseball,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Guns N' Roses members,,who is the drummer for guns and roses,NONE,1007-1009,,,,,,,,,,,,,,,,,,,,,,
